iter	Passed	Remaining
556	2862	2276
557	2867	2271
558	2872	2266
559	2878	2261
560	2883	2256
561	2888	2251
562	2895	2247
563	2900	2241
564	2905	2236
565	2911	2232
566	2915	2226
567	2921	2221
568	2928	2218
569	2935	2214
570	2941	2210
571	2948	2206
572	2955	2202
573	2960	2197
574	2965	2192
575	2971	2187
576	2978	2183
577	2983	2178
578	2988	2173
579	2994	2168
580	2999	2163
581	3004	2158
582	3009	2152
583	3014	2147
584	3020	2142
585	3025	2137
586	3030	2131
587	3034	2126
588	3040	2121
589	3045	2116
590	3050	2110
591	3055	2105
592	3061	2101
593	3066	2096
594	3072	2091
595	3077	2086
596	3082	2081
597	3088	2076
598	3093	2071
599	3099	2066
600	3105	2061
601	3110	2056
602	3115	2051
603	3120	2046
604	3126	2041
605	3131	2036
606	3137	2031
607	3142	2026
608	3147	2021
609	3154	2017
610	3161	2012
611	3167	2007
612	3172	2002
613	3177	1997
614	3182	1992
615	3188	1987
616	3192	1981
617	3197	1976
618	3203	1971
619	3208	1966
620	3213	1961
621	3219	1956
622	3224	1951
623	3229	1945
624	3234	1940
625	3239	1935
626	3244	1929
627	3249	1924
628	3253	1919
629	3258	1913
630	3263	1908
631	3269	1903
632	3274	1898
633	3280	1893
634	3286	1888
635	3290	1883
636	3296	1878
637	3300	1872
638	3305	1867
639	3309	1861
640	3315	1856
641	3319	1851
642	3324	1845
643	3329	1840
644	3334	1835
645	3339	1829
646	3345	1825
647	3350	1819
648	3354	1814
649	3358	1808
650	3365	1804
651	3370	1798
652	3375	1793
653	3380	1788
654	3384	1782
655	3389	1777
656	3395	1772
657	3400	1767
658	3405	1762
659	3411	1757
660	3415	1751
661	3422	1747
662	3429	1743
663	3435	1738
664	3440	1733
665	3446	1728
666	3451	1723
667	3456	1717
668	3462	1713
669	3467	1707
670	3472	1702
671	3478	1697
672	3484	1692
673	3489	1687
674	3494	1682
675	3500	1677
676	3505	1672
677	3511	1667
678	3515	1662
679	3520	1656
680	3526	1651
681	3531	1646
682	3536	1641
683	3542	1636
684	3548	1631
685	3553	1626
686	3559	1621
687	3563	1616
688	3568	1610
689	3573	1605
690	3579	1600
691	3585	1595
692	3591	1591
693	3598	1586
694	3604	1581
695	3609	1576
696	3614	1571
697	3620	1566
698	3624	1560
699	3630	1555
700	3636	1551
701	3640	1545
702	3645	1540
703	3650	1534
704	3655	1529
705	3660	1524
706	3666	1519
707	3672	1514
708	3678	1509
709	3684	1504
710	3689	1499
711	3694	1494
712	3698	1488
713	3704	1483
714	3709	1478
715	3714	1473
716	3720	1468
717	3725	1463
718	3730	1457
719	3736	1452
720	3740	1447
721	3745	1442
722	3752	1437
723	3758	1432
724	3763	1427
725	3769	1422
726	3774	1417
727	3779	1412
728	3786	1407
729	3791	1402
730	3795	1396
731	3801	1391
732	3807	1386
733	3812	1381
734	3818	1376
735	3822	1371
736	3827	1365
737	3833	1360
738	3837	1355
739	3842	1350
740	3847	1344
741	3851	1339
742	3856	1333
743	3861	1328
744	3867	1323
745	3871	1318
746	3877	1313
747	3883	1308
748	3888	1302
749	3893	1297
750	3899	1292
751	3904	1287
752	3910	1282
753	3916	1277
754	3921	1272
755	3927	1267
756	3932	1262
757	3938	1257
758	3944	1252
759	3949	1247
760	3954	1241
761	3960	1236
762	3964	1231
763	3969	1226
764	3974	1220
765	3980	1215
766	3984	1210
767	3990	1205
768	3995	1200
769	4001	1195
770	4006	1190
771	4012	1184
772	4016	1179
773	4022	1174
774	4027	1169
775	4032	1164
776	4037	1158
777	4043	1153
778	4048	1148
779	4053	1143
780	4059	1138
781	4066	1133
782	4073	1128
783	4078	1123
784	4083	1118
785	4089	1113
786	4094	1108
787	4100	1103
788	4106	1098
789	4111	1092
790	4116	1087
791	4123	1082
792	4128	1077
793	4134	1072
794	4139	1067
795	4144	1062
796	4150	1057
797	4155	1051
798	4160	1046
799	4165	1041
800	4171	1036
801	4176	1031
802	4182	1026
803	4187	1020
804	4192	1015
805	4198	1010
806	4203	1005
807	4208	1000
808	4213	994
809	4219	989
810	4224	984
811	4229	979
812	4238	974
813	4243	969
814	4248	964
815	4253	959
816	4259	954
817	4265	949
818	4271	943
819	4275	938
820	4281	933
821	4286	928
822	4291	922
823	4296	917
824	4302	912
825	4308	907
826	4312	902
827	4319	897
828	4324	891
829	4329	886
830	4335	881
831	4340	876
832	4345	871
833	4351	866
834	4356	860
835	4360	855
836	4367	850
837	4375	845
838	4381	840
839	4386	835
840	4391	830
841	4397	825
842	4402	819
843	4408	814
844	4414	809
845	4419	804
846	4423	799
847	4429	793
848	4434	788
849	4439	783
850	4445	778
851	4450	773
852	4457	768
853	4464	763
854	4470	758
855	4475	752
856	4480	747
857	4486	742
858	4491	737
859	4497	732
860	4503	727
861	4508	721
862	4513	716
863	4518	711
864	4523	705
865	4529	700
866	4534	695
867	4539	690
868	4544	685
869	4549	679
870	4554	674
871	4560	669
872	4566	664
873	4570	658
874	4576	653
875	4581	648
876	4585	643
877	4591	638
878	4597	632
879	4602	627
880	4607	622
881	4612	617
882	4617	611
883	4623	606
884	4627	601
885	4632	596
886	4637	590
887	4643	585
888	4647	580
889	4652	575
890	4658	569
891	4663	564
892	4668	559
893	4674	554
894	4678	548
895	4684	543
896	4690	538
897	4695	533
898	4700	528
899	4705	522
900	4711	517
901	4717	512
902	4723	507
903	4729	502
904	4735	497
905	4742	492
906	4747	486
907	4753	481
908	4758	476
909	4763	471
910	4769	465
911	4773	460
912	4778	455
913	4784	450
914	4789	444
915	4793	439
916	4799	434
917	4805	429
918	4810	423
919	4814	418
920	4820	413
921	4825	408
922	4830	402
923	4836	397
924	4840	392
925	4844	387
926	4851	382
927	4856	376
928	4861	371
929	4867	366
930	4872	361
931	4877	355
932	4882	350
933	4887	345
934	4891	340
935	4896	334
936	4901	329
937	4907	324
938	4912	319
939	4918	313
940	4922	308
941	4927	303
942	4935	298
943	4940	293
944	4946	287
945	4951	282
946	4956	277
947	4962	272
948	4967	266
949	4972	261
950	4977	256
951	4982	251
